"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"30000029","商旅自由行(07漫游)","商旅自由行(07漫游)","普通GSM业务","2007/8/9","2050/1/1","非组合产品",""
"20000017","新势力校园套餐","新势力校园套餐","普通GSM业务","2006/10/1","2050/1/1","非组合产品","停售"
"10000112","公务卡78来显版","公务卡78来显版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"30000034","吉祥卡(武清)","吉祥卡(武清)","普通GSM业务","2006/9/11","2050/1/1","非组合产品","停售"
"30000039","吉祥卡(东丽)","吉祥卡(东丽)","普通GSM业务","2006/9/1","2050/1/1","非组合产品","审批"
"10000116","公务卡78标准版","公务卡78标准版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"20000001","短信套餐(G网)","短信套餐(G网)","普通GSM业务","2006/9/1","2050/1/1","非组合产品","停售"
"30000001","老如意通","老如意通","PPS业务","2007/9/11 21:24:55","2050/1/1","非组合产品",""
"20000006","G校园套餐（DIY）升级版","G校园套餐（DIY）升级版","普通GSM业务","2008/3/14","2050/1/1","非组合产品","审批"
"10000014","本地通二代","本地通二代","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"10000030","喜相逢东丽卡","喜相逢东丽卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000033","喜相逢北辰卡","喜相逢北辰卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000040","俱进卡","俱进卡","普通GSM业务","2003/6/25","2050/1/1","非组合产品","停售"
"30000016","GSM话吧","GSM话吧","GSM无线公商话","2003/2/24","2050/1/1","非组合产品","停售"
"10000093","石化公务卡","石化公务卡","普通GSM业务","2004/5/17","2050/1/1","非组合产品",""
"10000094","石化卓越联合卡","石化卓越联合卡","普通GSM业务","2004/5/17","2050/1/1","非组合产品",""
"20000011","短信套餐A","短信套餐A","普通GSM业务","2006/5/1","2050/1/1","非组合产品",""
"10000061","GSM公务套餐","GSM公务套餐","普通GSM业务","2006/4/10","2050/1/1","非组合产品","停售"
"10000011","全球漫游卡","全球漫游卡","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"10000012","漫游卡三代","漫游卡三代","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"10000018","吉祥卡","吉祥卡","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"10000020","国信真情卡","国信真情卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000007","免市话,国长,漫游月租","免市话,国长,漫游月租","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000012","天分折扣方案4(300元)","天分折扣方案4(300元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000031","漫游卡4代","漫游卡4代","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000026","曙光卡(SGK)","曙光卡(SGK)","普通GSM业务","2002/11/4","2050/1/1","非组合产品",""
"40000045","至尊卡","至尊卡","普通GSM业务","2006/4/16","2050/1/1","非组合产品","审批"
"10000001","GSM心连心298（双模）","GSM心连心298（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品",""
"10000097","GSM市区单向卡","GSM市区单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000105","GSM蓟县单向卡","GSM蓟县单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"40000042","新势力","新势力","普通GSM业务","2004/9/22","2050/1/1","非组合产品",""
"40000049","MT3","MT3","普通GSM业务","1997/9/22","2004/1/1","非组合产品",""
"10000078","公务套餐50","公务套餐50","普通GSM业务","2009/2/1","2050/1/1","非组合产品","停售"
"10000084","GSM公务95套餐（双模）","GSM公务95套餐（双模）","GC双模G网签约业务","2007/7/5","2050/1/1","非组合产品","审批"
"30000036","吉祥卡(蓟县)","吉祥卡(蓟县)","普通GSM业务","2006/9/11","2050/1/1","非组合产品","停售"
"30000037","吉祥卡(汉沽)","吉祥卡(汉沽)","普通GSM业务","2006/9/1","2050/1/1","非组合产品","停售"
