"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS移动","30000034","吉祥卡(武清)","2006/9/11","2050/1/1","5722.03","176"
"BSS移动","10000033","喜相逢北辰卡","2003/1/17","2050/1/1","321.6","7"
"BSS移动","40000042","新势力","2004/9/22","2050/1/1","0","0"
"BSS移动","40000026","员工卡8(400元)","2002/7/17","2050/1/1","0","0"
"BSS移动","10000077","尊贵400","2005/7/15","2050/1/1","0","0"
"BSS移动","10000106","GSM宝坻单向卡","2005/5/20","2050/1/1","0","0"
"BSS移动","20000005","校园套餐（校园联盟）","2008/7/20","2050/1/1","0","0"
"BSS移动","40000024","免全部通话费","2002/7/17","2050/1/1","0","0"
"BSS移动","30000006","休闲卡","2008/7/20","2050/1/1","0","0"
"BSS移动","40000051","GS1","1997/9/22","2004/1/1","0","0"
"BSS移动","10000082","GSM公务45套餐（双模）","2007/7/5","2050/1/1","0","0"
"BSS移动","30000031","吉祥卡(滨海)","2006/9/12","2050/1/1","0","0"
"BSS移动","30000015","GSM移动公话3","2002/11/18","2050/1/1","206.77","23"
"BSS移动","30000030","如意通虚拟产品","2001/1/1","2050/1/1","0","0"
"BSS移动","10000080","公务套餐100","2009/2/1","2050/1/1","4090.12","34"
"BSS移动","10000081","公务套餐200","2009/2/1","2050/1/1","3037.81","10"
"BSS移动","10000049","单向喜相逢津南卡","2004/4/12","2050/1/1","0","0"
"BSS移动","10000052","单向喜相逢武清卡","2004/4/12","2050/1/1","0","0"
"BSS移动","40000017","员工卡5(免本地本网)","2002/7/17","2050/1/1","0","0"
"BSS移动","10000095","GSM工薪卡45A","2005/5/20","2050/1/1","969.66","15"
"BSS移动","10000113","公务卡45标准版","2005/4/15","2050/1/1","0","0"
"BSS移动","10000007","GSM综合智能网公务卡","2006/10/1","2050/1/1","384.57","3"
"BSS移动","10000098","GSM滨海单向卡","2005/5/20","2050/1/1","119.5","3"
"BSS移动","10000028","喜相逢汉沽卡","2003/1/17","2050/1/1","502.5","12"
"BSS移动","10000057","国际先锋卡","2002/8/1","2050/1/1","546","4"
"BSS移动","30000023","G网预付费大众卡(预付话费60)","2007/9/29","2050/1/1","0","0"
"BSS移动","10000022","自由卡2","2002/7/17","2050/1/1","111.5","1"
"BSS移动","40000011","天分折扣方案3(250元)","2002/7/17","2050/1/1","0","0"
"BSS移动","40000028","任我行168卡","2002/7/17","2050/1/1","0","0"
"BSS移动","99002131","3G-套餐减半113","2000/1/1","2050/1/1","0","0"
"BSS移动","99002306","WCDMA(3G)-156元iPhone套餐","2000/1/1","2050/1/1","7303.68","40"
"BSS移动","99002312","WCDMA(3G)-886元iPhone套餐","2000/1/1","2050/1/1","1506.2","2"
"BSS移动","99002158","WCDMA(3G)-无线上网卡80元套餐","2009/9/9","2050/1/1","25863.9","297"
"BSS移动","99002146","WCDMA(3G)-886元基本套餐-A","2009/9/9","2050/1/1","33077.11","49"
"BSS移动","78000041","WCDMA(3G)-286元iPhone套餐(OCS)","2000/1/1","2050/1/1","296","1"
"BSS移动","78000043","WCDMA(3G)-586元iPhone套餐(OCS)","2000/1/1","2050/1/1","0","0"
"BSS移动","81090015","商机在沃-3G手机套餐386月租-成员套餐","2009/12/29","2050/1/1","10841.9","27"
"BSS移动","85000039","校园部落3G上网卡体验版（30元）","2010/2/23","2050/12/31","0","0"
"BSS移动","81000155","VPDN上网卡","1997/7/19","2050/12/31","798.3","103"
"BSS移动","85000054","GSM公务80套餐（军旅版）","2009/2/1","2050/1/1","198","6"
"BSS移动","81091013","商机在沃-3G手机套餐96月租-成员套餐","2010/6/24 21:49:18","2050/12/31","18005.7","169"
"BSS移动","87990048","单卡本地OCS上网卡150元","2009/9/9","2050/1/1","0","0"
"BSS移动","87990052","1200元本地OCS上网卡200元","2009/9/9","2050/1/1","0","0"
"BSS移动","99003821","沃3G预付费66元套餐B(OCS)","2000/1/1","2050/1/1","11321.81","119"
